xaxis	yaxis	Freq	Prop
CD8 Naive	CD4 TCM	0	0
CD8 TCM	CD4 TCM	0	0
CD8 TEM	CD4 TCM	3	0.0142857142857143
MAIT	CD4 TCM	0	0
NK	CD4 TCM	1	0.00757575757575758
Platelet	CD4 TCM	0	0
Treg	CD4 TCM	1	0.0526315789473684
cDC1	CD4 TCM	0	0
cDC2	CD4 TCM	0	0
dnT	CD4 TCM	0	0
gdT	CD4 TCM	0	0
pDC	CD4 TCM	0	0
B intermediate	CD4 TEM	0	0
B memory	CD4 TEM	0	0
B naive	CD4 TEM	0	0
CD14 Mono	CD4 TEM	0	0
CD16 Mono	CD4 TEM	0	0
CD4 CTL	CD4 TEM	5	0.357142857142857
CD4 Naive	CD4 TEM	0	0
CD4 TCM	CD4 TEM	0	0
CD4 TEM	CD4 TEM	0	0
CD8 Naive	CD4 TEM	0	0
CD8 TCM	CD4 TEM	0	0
CD8 TEM	CD4 TEM	26	0.123809523809524
MAIT	CD4 TEM	1	0.0909090909090909
NK	CD4 TEM	18	0.136363636363636
Platelet	CD4 TEM	0	0
Treg	CD4 TEM	0	0
cDC1	CD4 TEM	0	0
cDC2	CD4 TEM	0	0
dnT	CD4 TEM	0	0
gdT	CD4 TEM	0	0
pDC	CD4 TEM	0	0
B intermediate	CD8 Naive	3	0.214285714285714
B memory	CD8 Naive	10	0.256410256410256
B naive	CD8 Naive	4	0.0588235294117647
CD14 Mono	CD8 Naive	0	0
CD16 Mono	CD8 Naive	0	0
CD4 CTL	CD8 Naive	1	0.0714285714285714
CD4 Naive	CD8 Naive	15	0.0576923076923077
CD4 TCM	CD8 Naive	4	0.0154440154440154
CD4 TEM	CD8 Naive	4	0.142857142857143
CD8 Naive	CD8 Naive	38	0.883720930232558
CD8 TCM	CD8 Naive	1	0.25
CD8 TEM	CD8 Naive	58	0.276190476190476
MAIT	CD8 Naive	0	0
NK	CD8 Naive	27	0.204545454545455
Platelet	CD8 Naive	0	0
Treg	CD8 Naive	0	0
cDC1	CD8 Naive	0	0
cDC2	CD8 Naive	0	0
dnT	CD8 Naive	0	0
gdT	CD8 Naive	1	1
pDC	CD8 Naive	0	0
B intermediate	CD8 TCM	0	0
